time,lat,long
100,51.34305,12.38132
101,51.34323,12.38137
102,51.34333,12.38137
103,51.34344,12.38137
104,51.34356,12.38119
105,51.34364,12.38107
106,51.34372,12.38087
107,51.34381,12.38065
108,51.3439,12.3804
109,51.34398,12.38025
110,51.34404,12.38008
111,51.34412,12.3799
112,51.34418,12.3797
113,51.34426,12.37943
114,51.34433,12.37919
115,51.34439,12.37892
116,51.34443,12.37864
117,51.34445,12.37832
118,51.34441,12.37798
119,51.3444,12.37781
120,51.34439,12.37749
121,51.34438,12.37724
122,51.34436,12.37706
123,51.34434,12.37684
124,51.34431,12.37665
125,51.3443,12.37632
126,51.34429,12.37601
127,51.34429,12.37564
128,51.3443,12.37542
129,51.34429,12.37509
130,51.34428,12.37467
131,51.34427,12.37442
132,51.34427,12.37418
133,51.34427,12.37398
134,51.34427,12.37366
135,51.34425,12.37343
136,51.34424,12.3731
137,51.34425,12.37285
138,51.34432,12.37261
139,51.34444,12.37245
140,51.34457,12.37238
141,51.3447,12.37247
142,51.34484,12.37259
143,51.34498,12.37259
144,51.34512,12.37252
145,51.34528,12.37244
146,51.34539,12.37237
147,51.34549,12.37234
148,51.34563,12.3723
149,51.3458,12.37229
150,51.34591,12.37227
151,51.34607,12.37226
152,51.34623,12.37223
153,51.34639,12.37219
154,51.34649,12.37217
155,51.34663,12.37211
156,51.3468,12.37212
157,51.34696,12.37205
158,51.34706,12.37186
159,51.34702,12.37158
160,51.34696,12.37136
161,51.3469,12.37116
162,51.34684,12.37098
163,51.34678,12.37072
164,51.34673,12.37055
165,51.3467,12.37024
166,51.34672,12.36999
167,51.34679,12.36982
168,51.34684,12.36964
169,51.34694,12.36941
170,51.34703,12.36916
171,51.34707,12.36888
172,51.3471,12.36866
173,51.34712,12.3684
174,51.34716,12.36819
175,51.3472,12.36792
176,51.34726,12.36767
177,51.3473,12.36749
178,51.34739,12.36737
179,51.34749,12.36731
180,51.34766,12.36734
181,51.34775,12.36736
182,51.34787,12.36733
183,51.34801,12.36731
184,51.34812,12.36725
185,51.34826,12.36716
186,51.34836,12.36711
187,51.34852,12.36708
188,51.34863,12.36704
189,51.34879,12.36702
190,51.34893,12.36706
191,51.34907,12.36704
192,51.34917,12.36701
193,51.34929,12.36698
194,51.34945,12.36695
195,51.34953,12.36688
196,51.34969,12.36678
197,51.34986,12.36662
198,51.34991,12.36649
199,51.35002,12.36634
200,51.35013,12.36619
201,51.35025,12.36601
202,51.35031,12.36583
203,51.3504,12.36571
204,51.3505,12.36555
205,51.35059,12.36541
206,51.35064,12.36529
207,51.35072,12.36511
208,51.3508,12.36493
209,51.3509,12.36468
210,51.35092,12.36455
211,51.35099,12.36433
212,51.35106,12.36401
213,51.35108,12.36384
214,51.3511,12.36366
215,51.35112,12.36347
216,51.35115,12.3632
217,51.35114,12.36302
218,51.35111,12.36281
219,51.35103,12.36272
220,51.35095,12.36266
221,51.35084,12.36258
222,51.35078,12.36239
223,51.35072,12.36221
224,51.35062,12.36229
225,51.35052,12.36231
226,51.35042,12.36235
227,51.35033,12.36243
228,51.35026,12.36251
229,51.35023,12.36254
230,51.35017,12.36258
231,51.35012,12.36265
232,51.35004,12.36272
233,51.34998,12.3628
234,51.34991,12.36289
235,51.34985,12.36296
236,51.34979,12.36305
237,51.34974,12.36312
238,51.34967,12.36321
239,51.34959,12.36329
240,51.34954,12.36334
241,51.34949,12.3634
242,51.34942,12.36345
243,51.34934,12.36352
244,51.34926,12.36361
245,51.34915,12.36369
246,51.34906,12.36376
247,51.34898,12.36379
248,51.34887,12.36382
249,51.34877,12.36384
250,51.34868,12.36383
251,51.34859,12.36384
252,51.3485,12.36385
253,51.34842,12.36387
254,51.34836,12.36394
255,51.34824,12.364
256,51.34813,12.36403
257,51.34801,12.36408
258,51.3479,12.36418
259,51.34783,12.36426
260,51.34774,12.36436
261,51.34765,12.36443
262,51.34754,12.36454
263,51.34742,12.36463
264,51.34734,12.36468
265,51.34722,12.36473
266,51.34711,12.36474
267,51.347,12.3647
268,51.34689,12.36456
269,51.34685,12.36433
270,51.34686,12.3641
271,51.34689,12.36386
272,51.34694,12.36367
273,51.34699,12.36348
274,51.347,12.3633
275,51.34701,12.36307
276,51.347,12.36275
277,51.34702,12.36242
278,51.34705,12.36217
279,51.3471,12.36185
280,51.34711,12.3616
281,51.34712,12.36147
282,51.34699,12.36129
283,51.34687,12.36125
284,51.34673,12.36107
285,51.34671,12.36085
286,51.34662,12.36072
287,51.34648,12.36068
288,51.34641,12.36043
289,51.34636,12.36024
290,51.34628,12.35998
291,51.34623,12.35976
292,51.3462,12.35959
293,51.34615,12.35941
294,51.34611,12.35919
295,51.34605,12.35901
296,51.346,12.35876
297,51.34594,12.35846
298,51.34592,12.35828
299,51.34587,12.35803
300,51.34581,12.35774
301,51.34573,12.35757
302,51.34569,12.35733
303,51.34562,12.35706
304,51.34559,12.35683
305,51.34554,12.35665
306,51.34547,12.35636
307,51.3454,12.35612
308,51.34538,12.35594
309,51.34532,12.35573
310,51.34528,12.35553
311,51.34525,12.35541
312,51.34513,12.35541
313,51.34501,12.35545
314,51.34491,12.35549
315,51.34479,12.35553
316,51.34471,12.35557
317,51.34462,12.35559
318,51.34451,12.35564
319,51.34437,12.35565
320,51.34425,12.35559
321,51.34415,12.35548
322,51.34404,12.35533
323,51.34397,12.35508
324,51.34392,12.35491
325,51.34389,12.35465
326,51.34384,12.35445
327,51.3438,12.35424
328,51.34375,12.35412
329,51.34373,12.35397
330,51.3437,12.35379
331,51.34365,12.35357
332,51.3436,12.35335
333,51.34355,12.35309
334,51.34349,12.3528
335,51.34348,12.35266
336,51.34346,12.35252
337,51.34345,12.35241
338,51.34352,12.35222
339,51.34361,12.3521
340,51.34374,12.35198
341,51.34375,12.35181
342,51.34365,12.35181
343,51.34353,12.35188
344,51.34344,12.35194
345,51.34336,12.35198
346,51.34327,12.35206
347,51.3432,12.35208
348,51.3431,12.35214
349,51.34298,12.35218
350,51.34286,12.35224
351,51.3428,12.35227
352,51.34271,12.3523
353,51.34263,12.35235
354,51.34252,12.35242
355,51.34237,12.35249
356,51.34225,12.35258
357,51.34217,12.35262
358,51.34208,12.35264
359,51.34204,12.35242
360,51.34214,12.35234
361,51.34223,12.35226
362,51.34236,12.3522
363,51.3425,12.35214
364,51.34262,12.35208
365,51.34272,12.35201
366,51.34282,12.35196
367,51.34294,12.35188
368,51.34301,12.35187
369,51.34313,12.3518
370,51.34325,12.35175
371,51.34334,12.35168
372,51.34343,12.35164
373,51.34349,12.35156
374,51.34354,12.35149
375,51.3435,12.35134
376,51.34343,12.35142
377,51.34333,12.35147
378,51.34325,12.35151
379,51.34315,12.35159
380,51.34305,12.35166
381,51.34298,12.3517
382,51.34293,12.35176
383,51.34282,12.35182
384,51.34274,12.3519
385,51.34263,12.35193
386,51.34261,12.35195
387,51.34254,12.35201
388,51.34244,12.35206
389,51.34238,12.35213
390,51.34229,12.35212
391,51.34222,12.35216
392,51.34218,12.35223
393,51.3421,12.35221
394,51.34208,12.35207
395,51.34205,12.35192
396,51.34215,12.35196
397,51.34223,12.35199
398,51.34224,12.35189
399,51.34233,12.35196
400,51.34235,12.3518
401,51.34244,12.35191
402,51.34246,12.35173
403,51.34253,12.35187
404,51.34259,12.3516
405,51.34263,12.35179
406,51.34272,12.35158
407,51.34276,12.35171
408,51.34283,12.35146
409,51.34287,12.35163
410,51.34293,12.35141
411,51.34297,12.35159
412,51.34303,12.35136
413,51.34307,12.35151
414,51.34311,12.35128
415,51.34319,12.35144
416,51.34322,12.35123
417,51.34327,12.35145
418,51.34332,12.35115
419,51.34336,12.35134
420,51.34337,12.35113
421,51.34343,12.35137
422,51.34347,12.35107
423,51.34352,12.35126
424,51.34358,12.35108
425,51.34353,12.35087
426,51.34344,12.35071
427,51.34345,12.35098
428,51.3434,12.35083
429,51.34337,12.35097
430,51.34326,12.35081
431,51.34319,12.35067
432,51.34318,12.35086
433,51.34311,12.35068
434,51.34309,12.35091
435,51.34303,12.35076
436,51.34302,12.35097
437,51.34292,12.3508
438,51.34293,12.35102
439,51.34285,12.35092
440,51.34285,12.35108
441,51.34275,12.35097
442,51.34267,12.35079
443,51.34266,12.35109
444,51.3426,12.35091
445,51.34255,12.35113
446,51.34248,12.35096
447,51.34247,12.35117
448,51.34238,12.35103
449,51.34237,12.35122
450,51.34229,12.35105
451,51.34228,12.35123
452,51.34221,12.3511
453,51.34219,12.35129
454,51.34211,12.35117
455,51.3421,12.3514
456,51.34199,12.35133
457,51.34195,12.35114
458,51.342,12.35097
459,51.34208,12.35099
460,51.34216,12.35116
461,51.34219,12.35092
462,51.34227,12.35112
463,51.34229,12.35087
464,51.34236,12.35108
465,51.34238,12.35083
466,51.34245,12.35101
467,51.34247,12.35076
468,51.34254,12.35093
469,51.34256,12.35073
470,51.34262,12.35089
471,51.34263,12.35067
472,51.3427,12.35085
473,51.34271,12.35061
474,51.34276,12.35081
475,51.34279,12.35051
476,51.34288,12.35073
477,51.34288,12.35046
478,51.34294,12.35068
479,51.34295,12.35036
480,51.34301,12.35063
481,51.34304,12.35033
482,51.34311,12.35058
483,51.34316,12.35094
484,51.34318,12.3505
485,51.34321,12.35094
486,51.34323,12.35045
487,51.34329,12.35084
488,51.3433,12.35043
489,51.34336,12.35075
490,51.34337,12.35046
491,51.34332,12.35022
492,51.34326,12.35021
493,51.34324,12.35035
494,51.34316,12.35019
495,51.34316,12.35046
496,51.34306,12.35026
497,51.34309,12.35052
498,51.34301,12.35035
499,51.343,12.35061
500,51.34292,12.3504
501,51.34295,12.35068
502,51.34285,12.3505
503,51.34284,12.35073
504,51.34278,12.35051
505,51.34277,12.35083
506,51.34275,12.35054
507,51.34272,12.35081
508,51.34268,12.35063
509,51.34266,12.35088
510,51.34263,12.35069
511,51.34261,12.3509
512,51.34256,12.3508
513,51.3425,12.3507
514,51.34249,12.35085
515,51.34241,12.35076
516,51.34242,12.35089
517,51.34232,12.3508
518,51.34234,12.35092
519,51.34223,12.35086
520,51.34222,12.35101
521,51.34215,12.35089
522,51.34213,12.35108
523,51.34206,12.35092
524,51.34207,12.3511
525,51.342,12.35097
526,51.34201,12.35113
527,51.34193,12.35101
528,51.34196,12.35125
529,51.34188,12.35112
530,51.3419,12.3513
531,51.34175,12.35125
532,51.3416,12.3513
533,51.34152,12.35139
534,51.3414,12.35147
535,51.3413,12.35151
536,51.34119,12.35158
537,51.34108,12.35162
538,51.34098,12.3517
539,51.34092,12.35173
540,51.34077,12.35184
541,51.34066,12.35188
542,51.34048,12.35158
543,51.3404,12.3514
544,51.34033,12.35117
545,51.34027,12.351
546,51.34021,12.35079
547,51.34013,12.35047
548,51.3401,12.35031
549,51.34001,12.35008
550,51.33994,12.3498
551,51.33986,12.34951
552,51.33979,12.34923
553,51.33972,12.34897
554,51.33968,12.34867
555,51.33963,12.34852
556,51.3396,12.34831
557,51.33956,12.3481
558,51.33947,12.34785
559,51.33942,12.34757
560,51.33935,12.34731
561,51.3393,12.34703
562,51.33926,12.34685
563,51.33923,12.34662
564,51.33919,12.34644
565,51.33917,12.34624
566,51.33913,12.34602
567,51.33906,12.34573
568,51.33901,12.3455
569,51.33898,12.34528
570,51.33892,12.34509
571,51.33886,12.34482
572,51.33885,12.34468
573,51.33876,12.34445
574,51.33875,12.34423
575,51.3387,12.34396
576,51.33864,12.34376
577,51.33858,12.34352
578,51.33851,12.34333
579,51.33833,12.34338
580,51.33817,12.3434
581,51.33808,12.34342
582,51.33796,12.34345
583,51.3378,12.34342
584,51.33758,12.3434
585,51.33741,12.34334
586,51.33728,12.34329
587,51.33715,12.34317
588,51.33697,12.34314
589,51.33681,12.34304
590,51.33669,12.34299
591,51.33659,12.34294
592,51.33648,12.34288
593,51.33633,12.34276
594,51.33627,12.34259
595,51.33618,12.34241
596,51.33614,12.34223
597,51.33606,12.34207
598,51.33597,12.34184
599,51.33594,12.34162
600,51.33587,12.34133
601,51.33582,12.34113
602,51.33582,12.34085
603,51.33586,12.34066
604,51.33602,12.34064
605,51.33628,12.34075
606,51.33643,12.34077
607,51.33661,12.34071
608,51.33667,12.34051
609,51.33663,12.34031
610,51.33661,12.34006
611,51.33659,12.33975
612,51.33657,12.33955
613,51.33655,12.33936
614,51.33655,12.33911
615,51.33654,12.33892
616,51.33654,12.33869
617,51.33655,12.33853
618,51.33659,12.3383
619,51.33665,12.33803
620,51.33669,12.33794
621,51.33675,12.33778
622,51.33682,12.33761
623,51.33688,12.33745
624,51.337,12.3373
625,51.33705,12.33714
626,51.33709,12.33695
627,51.33722,12.33697
628,51.33731,12.33698
629,51.33729,12.33685
630,51.3372,12.33673
631,51.33715,12.33659
632,51.33713,12.33643
633,51.33724,12.33636
634,51.33719,12.33651
635,51.33729,12.33647
636,51.33725,12.33666
637,51.33736,12.33666
638,51.33738,12.33648
639,51.33748,12.33653
640,51.33749,12.33632
641,51.33743,12.33633
642,51.33734,12.33639
643,51.33731,12.33624
644,51.3374,12.33619
645,51.33739,12.33607
646,51.33732,12.33606
647,51.33737,12.33593
648,51.33744,12.33591
649,51.33744,12.33578
650,51.33754,12.33587
651,51.33757,12.3356
652,51.33761,12.33584
653,51.33755,12.336
654,51.33755,12.33621
655,51.33765,12.33624
656,51.33762,12.33606
657,51.33774,12.33614
658,51.33772,12.33581
659,51.33785,12.3359
660,51.33771,12.33556
661,51.33793,12.33587
662,51.33782,12.33547
663,51.33794,12.33566
664,51.33799,12.33539
665,51.33804,12.33565
666,51.33808,12.33529
667,51.33815,12.33545
668,51.33815,12.33523
669,51.33821,12.33539
670,51.33825,12.33516
671,51.33834,12.33506
672,51.33841,12.3349
673,51.3384,12.33458
674,51.33838,12.33431
675,51.33834,12.33412
676,51.33832,12.33388
677,51.33826,12.33369
678,51.3382,12.3335
679,51.33815,12.33333
680,51.3381,12.33318
681,51.33803,12.33294
682,51.33798,12.33274
683,51.33793,12.33252
684,51.33788,12.33236
685,51.33782,12.33216
686,51.33778,12.332
687,51.33772,12.33185
688,51.33768,12.33158
689,51.33761,12.33145
690,51.33755,12.33123
691,51.33749,12.33105
692,51.33741,12.33084
693,51.33736,12.3306
694,51.33729,12.33051
695,51.33724,12.33031
696,51.33714,12.3303
697,51.33703,12.33035
698,51.33696,12.3305
699,51.33685,12.33067
700,51.33675,12.33082
701,51.33671,12.33092
702,51.33662,12.33103
703,51.33653,12.33118
704,51.33648,12.33126
705,51.33639,12.33135
706,51.33629,12.3315
707,51.33621,12.33149
708,51.33613,12.33128
709,51.33608,12.33101
710,51.33603,12.33079
711,51.33599,12.33056
712,51.33594,12.33034
713,51.33588,12.33018
714,51.33584,12.32995
715,51.33576,12.32973
716,51.33571,12.32948
717,51.33562,12.32941
718,51.33556,12.32924
719,51.33547,12.32911
720,51.33545,12.32893
721,51.33537,12.32874
722,51.33531,12.32855
723,51.3352,12.32838
724,51.33518,12.32819
725,51.33509,12.32811
726,51.33508,12.32793
727,51.33497,12.32779
728,51.33489,12.32748
729,51.33482,12.32751
730,51.33475,12.32727
731,51.3347,12.32737
732,51.33462,12.32702
733,51.33455,12.32709
734,51.33452,12.32677
735,51.33438,12.32655
736,51.33429,12.3264
737,51.3342,12.32617
738,51.33413,12.32598
739,51.33405,12.32582
740,51.33401,12.32566
741,51.33388,12.32549
742,51.33382,12.32538
743,51.33374,12.3252
744,51.33365,12.32501
745,51.33359,12.32491
746,51.33353,12.32476
747,51.3335,12.32463
748,51.33344,12.32443
749,51.33339,12.32425
750,51.33333,12.32406
751,51.33327,12.32383
752,51.3332,12.32365
753,51.33312,12.32337
754,51.333,12.32307
755,51.33292,12.32286
756,51.33284,12.32268
757,51.33279,12.32252
758,51.33273,12.32241
759,51.33266,12.32221
760,51.33258,12.32207
761,51.33252,12.32186
762,51.33247,12.3217
763,51.33244,12.32153
764,51.33237,12.32134
765,51.33231,12.32112
766,51.33224,12.32096
767,51.33216,12.3207
768,51.33211,12.32054
